User Input,Chatbot Response,Timestamp
Hi,Hello! How can I assist you today?,2024-12-07 12:32:17
eat me,Good morning! How can I assist you today?,2024-12-07 12:32:30
sports khelbo,Hello! How can I assist you today?,2024-12-07 12:32:44
weather,Hi there! How can I help you?,2024-12-07 12:32:52
hi,Good morning! How can I assist you today?,2024-12-07 12:33:06
hi,Good afternoon! Howâ€™s your day going?,2024-12-07 12:33:18
Day,Hello! How can I assist you today?,2024-12-07 12:33:31
What’s your name?,Hello! How can I assist you today?,2024-12-07 12:34:07
What’s your name?,Hey! Whatâ€™s up?,2024-12-07 12:35:02
What’s your,Hi there! How can I help you?,2024-12-07 12:36:04
guy,Hello! How are you doing today?,2024-12-07 12:36:13
What’s your name?,Good morning! How can I assist you today?,2024-12-07 12:42:31
Hii,Good morning! How can I assist you today?,2024-12-07 12:42:39
jjjj,Good morning! How can I assist you today?,2024-12-07 12:42:50
jjjj,Hi there! How can I help you?,2024-12-07 12:43:00
jojo,Hi there! How can I help you?,2024-12-07 12:43:06
What’s your name?,Hello! How are you doing today?,2024-12-07 12:43:21
help,Good morning! How can I assist you today?,2024-12-07 12:43:30
BYe,Goodbye! Come back if you need anything!,2024-12-07 12:44:45
What is your name,I'm your assistant. How can I help?,2024-12-07 12:45:07
help,Hello! How are you doing today?,2024-12-07 12:45:21
help me,Hello! How can I assist you today?,2024-12-07 12:45:28
tell me about weather,Good evening! How can I help you tonight?,2024-12-07 12:45:41
Where are you located,"We are located at 123 Main Street, City.",2024-12-07 12:46:20
How is today's ,Hello! How can I assist you today?,2024-12-07 12:46:47
How is today's weather,Good evening! How can I help you tonight?,2024-12-07 12:47:03
wher is your location,Hi there! How can I help you?,2024-12-07 12:47:16
Where are you located,"We offer various services including consulting, support, and more.",2024-12-07 12:47:40
hi,Good afternoon! Howâ€™s your day going?,2024-12-07 12:49:37
hi,Hello! How are you doing today?,2024-12-07 12:50:04
What are your hours?,You can contact support at support@company.com.,2024-12-07 12:50:09
What’s the temperature?,It looks like itâ€™s going to rain later today.,2024-12-07 12:50:44
Tell me about weather,Hey! Whatâ€™s up?,2024-12-07 12:51:01
What is your name?,Iâ€™m an AI bot here to help you!,2024-12-07 12:51:25
What is sports,Hello! How are you doing today?,2024-12-07 12:52:02
What's for today's dinner,Good afternoon! Howâ€™s your day going?,2024-12-07 12:52:16
What's for dinner?,How about some pizza? Itâ€™s always a great choice!,2024-12-07 12:52:37
What's for dinner?,I recommend sushi or a burger today.,2024-12-07 12:53:37
vegetables,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:53:48
i want to have vegetables,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:54:22
i want to have vegetables ,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:54:30
i want vegetables,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:54:44
i want vegetables,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:58:40
i want vegetables,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:58:44
Hi,Good afternoon! How's your day going?,2024-12-07 12:58:50
Good,Hi there! How can I help you?,2024-12-07 12:58:55
Food,Maybe try a healthy salad with some grilled chicken!,2024-12-07 12:58:59
hi,I love basketball and football! How about you?,2024-12-07 13:01:10
What’s your name?,"I'm not sure who won the last match, but I can look it up for you!",2024-12-07 13:01:31
vegetables,"I'm not sure who won the last match, but I can look it up for you!",2024-12-07 13:01:38
hi,Football is a great sport! It's a team game played on a rectangular field.,2024-12-07 13:01:46
hi,Football is a great sport! It's a team game played on a rectangular field.,2024-12-07 13:02:19
hi\,Hi there! How can I help you?,2024-12-07 13:04:15
i want to play ,Football is a great sport! It's a team game played on a rectangular field.,2024-12-07 13:04:25
vegetables,I love basketball and football! How about you?,2024-12-07 13:04:33
hi,Hey! What's up?,2024-12-07 13:16:56
I want to play,Football is a great sport! It's a team game played on a rectangular field.,2024-12-07 13:17:15
I am hungry,"I'm not sure who won the last match, but I can look it up for you!",2024-12-07 13:17:31
I want food,Maybe try a healthy salad with some grilled chicken!,2024-12-07 13:17:51
